_id                      ,isPb ,wpm   ,acc   ,rawWpm ,consistency ,charStats    ,mode  ,mode2 ,quoteLength ,restartCount ,testDuration ,afkDuration ,incompleteTestSeconds ,punctuation ,numbers ,language ,funbox    ,difficulty ,lazyMode ,blindMode ,bailedOut ,tags ,timestamp
6654742174e2231221fe9bd2 ,     ,57.5  ,92.7  , 59.83 ,      57.34 ,123;1;0;0    ,words ,   25 ,-1          ,           0 ,       25.67 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716810785000
6654740674e2231221fe9aea ,     ,58.23 ,92.52 , 58.23 ,      61.71 ,133;0;0;0    ,words ,   25 ,-1          ,           0 ,       27.41 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716810758000
6652fa7b6d1b0584d21d0f31 ,     ,65.02 ,95.07 , 65.02 ,      55.12 ,135;0;0;0    ,words ,   25 ,-1          ,           0 ,       24.92 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716714107000
6652f7426d1b0584d21cf7a5 ,     ,59.26 ,91.43 , 59.26 ,      58.18 ,128;0;0;0    ,words ,   25 ,-1          ,           0 ,       25.92 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716713282000
6652f7276d1b0584d21cf6d4 ,     ,59.04 ,94.93 , 61.83 ,      67.62 ,127;0;1;0    ,words ,   25 ,-1          ,           0 ,       25.81 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716713255000
6652f70b6d1b0584d21cf61f ,     ,42.98 ,85.43 , 45.11 ,      47.19 ,121;0;1;0    ,words ,   25 ,-1          ,           0 ,       33.78 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716713227000
6652f6e06d1b0584d21cf4d2 ,     ,62.05 ,94.56 , 62.05 ,      57.82 ,139;0;0;0    ,words ,   25 ,-1          ,           0 ,       26.88 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716713184000
6652f6c36d1b0584d21cf40b ,     ,49.91 ,90.51 , 49.91 ,      47.19 ,123;0;0;0    ,words ,   25 ,-1          ,           0 ,       29.58 ,          1 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716713155000
6652f6086d1b0584d21ceece ,     ,61.76 ,94.48 , 64.57 ,      63.01 ,132;0;0;1    ,words ,   25 ,-1          ,           0 ,       25.65 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716712968000
6652f5ed6d1b0584d21cee10 ,     ,66.39 ,96.72 , 66.39 ,      65.74 ,118;0;0;0    ,words ,   25 ,-1          ,           0 ,       21.33 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716712941000
6652f5d66d1b0584d21ced7c ,     ,50.3  ,89.02 , 52.38 ,      45.82 ,145;3;1;0    ,words ,   25 ,-1          ,           0 ,       34.6  ,          1 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716712918000
664d7333bea7806f66e90712 ,     ,59.69 ,90.48 , 59.69 ,      54.97 ,130;0;0;0    ,words ,   25 ,-1          ,           0 ,       26.14 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716351795000
664c4f5abea7806f66de19e8 ,     ,43.55 ,90.07 , 44.89 ,      42.63 ,130;1;0;1    ,words ,   25 ,-1          ,           0 ,       35.82 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716277082000
664c4f35bea7806f66de18bc ,     ,22.2  ,87.34 , 23.55 ,       3.7  ,131;2;0;0    ,words ,   25 ,-1          ,           0 ,       70.82 ,         29 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716277045000
664c4e98bea7806f66de1376 ,     ,39.29 ,88.41 , 41.58 ,      37.74 ,120;2;1;1    ,words ,   25 ,-1          ,           0 ,       36.65 ,          2 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716276888000
664c4e71bea7806f66de123b ,     ,50.14 ,95.83 , 52.36 ,      52.6  ,135;1;1;0    ,words ,   25 ,-1          ,           0 ,       32.31 ,          1 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716276849000
664c4e4ebea7806f66de1120 ,     ,46.34 ,90.44 , 48.29 ,      58.64 ,119;1;0;0    ,words ,   25 ,-1          ,           0 ,       30.82 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716276814000
